iter	Logloss
0	0.6581276031
1	0.6249127161
2	0.5984391712
3	0.5673881258
4	0.5466171446
5	0.519524211
6	0.497732435
7	0.4791372844
8	0.4578215281
9	0.443591027
10	0.424372673
11	0.4093625205
12	0.395394189
13	0.3818556014
14	0.3708369618
15	0.3598859424
16	0.3491514297
17	0.3377824511
18	0.329573268
19	0.3218956902
20	0.314180465
21	0.3055312293
22	0.2999442418
23	0.2940382049
24	0.2869759968
25	0.2813158489
26	0.272968928
27	0.2657346271
28	0.2596200761
29	0.2535488038
30	0.2480331603
31	0.2441626957
32	0.2388962337
33	0.2362296241
34	0.2325024832
35	0.2278829756
36	0.2247486342
37	0.2208506266
38	0.2172876994
39	0.2130822227
40	0.2098214513
41	0.2067105884
42	0.2040661857
43	0.2004683358
44	0.1961972373
45	0.1931744757
46	0.1906582969
47	0.1872556777
48	0.1838026274
49	0.1813747315
50	0.1782358828
51	0.175810655
52	0.1724231243
53	0.1695042111
54	0.1662821543
55	0.1637893404
56	0.1615284738
57	0.1587377049
58	0.1568932193
59	0.1547299113
60	0.1524172965
61	0.1503017289
62	0.1479273864
63	0.1476740156
64	0.1458203566
65	0.1435088317
66	0.1432645207
67	0.1414618719
68	0.1392379375
69	0.137309029
70	0.1354782695
71	0.1336497466
72	0.1334331149
73	0.1332118171
74	0.131645021
75	0.1302212533
76	0.1300195399
77	0.128325099
78	0.1281269164
79	0.1265466554
