SolventC_Smiles,SolventD_Smiles,SolventE_Smiles,Time,ratioA,ratioB,ratioC,ratioD,ratioE,classification
CN1CCCC1=O,0,0,200,0.55,0.4,0.05,0,0,0
CO,0,0,200,0.55,0.4,0.05,0,0,0
CC(=O)O,0,0,200,0.55,0.4,0.05,0,0,0
C1=CC=C(C=C1)CO,0,0,200,0.55,0.4,0.05,0,0,0
CCOC(=O)C,0,0,200,0.55,0.4,0.05,0,0,0
C1CC(=O)OC1,0,0,200,0.55,0.4,0.05,0,0,0
CC#N,0,0,200,0.55,0.4,0.05,0,0,0
CC(CO)O,0,0,200,0.55,0.4,0.05,0,0,0
CCCCCC,0,0,200,0.55,0.4,0.05,0,0,0
CCCCCCCC,0,0,200,0.55,0.4,0.05,0,0,0
CC(C)O,0,0,200,0.55,0.4,0.05,0,0,0
CCO,0,0,200,0.55,0.4,0.05,0,0,0
C1=CC=C(C(=C1)Cl)Cl,0,0,200,0.55,0.4,0.05,0,0,0
CC(=O)N(C)C,0,0,200,0.55,0.4,0.05,0,0,0
CCN(CC)CC,0,0,200,0.55,0.4,0.05,0,0,0
CC(=O)C,0,0,200,0.55,0.4,0.05,0,0,1
C(CO)O,0,0,200,0.55,0.4,0.05,0,0,0
C(CO)O,CC1=CC=CC=C1,0,200,0.55,0.4,0.05,0.025,0,0
CC(=O)C,CN1CCCC1=O,0,200,0.55,0.4,0.025,0.025,0,0
CCN(CC)CC,CO,0,200,0.55,0.4,0.025,0.025,0,1
CC(=O)N(C)C,CC(=O)O,0,200,0.55,0.4,0.025,0.025,0,0
C1=CC=C(C(=C1)Cl)Cl,C1=CC=C(C=C1)CO,0,200,0.55,0.4,0.025,0.025,0,1
CCO,CCCCN,0,200,0.55,0.4,0.025,0.025,0,0
CC(C)O,C1CC(=O)OC1,0,200,0.55,0.4,0.025,0.025,0,0
CCCCCC,CC(CO)O,0,200,0.55,0.4,0.025,0.025,0,1
CC#N,CCCCCCCC,0,200,0.55,0.4,0.025,0.025,0,1
C1CC(=O)OC1,CC(C)O,0,200,0.55,0.4,0.025,0.025,0,0
CCCCN,CCO,0,200,0.55,0.4,0.025,0.025,0,0
C1=CC=C(C=C1)CO,C1=CC=C(C(=C1)Cl)Cl,0,200,0.55,0.4,0.025,0.025,0,1
CC(=O)O,CC(=O)N(C)C,0,200,0.55,0.4,0.025,0.025,0,0
CO,CCN(CC)CC,0,200,0.55,0.4,0.025,0.025,0,0
CN1CCCC1=O,CC(=O)C,0,200,0.55,0.4,0.025,0.025,0,1
CC1=CC=CC=C1,C(CO)O,0,200,0.55,0.4,0.025,0.025,0,1
C1=CC=C(C=C1)CO,C(CO)O,CC1=CC=CC=C1,200,0.72,0.24,0.02,0.01,0.01,1
C1=CC=C(C=C1)CO,C(CO)O,CC1=CC=CC=C1,50,0.72,0.24,0.02,0.01,0.01,1
C1=CC=C(C=C1)CO,C(CO)O,CC1=CC=CC=C1,100,0.72,0.24,0.02,0.01,0.01,1
