A nN,A Sse,A Mv,A Mpe,A ETA_dAlpha_B,A Bandgap,B Mare,B Mi,B ETA_dAlpha_B,B ETA_BetaP,B fragC,B HOMO,B Bandgap,Potential (v)
8,52.9592134,0.633314003,0.966851646,0.02759,1.777,1.057047619,7.525992814,0.03222,1.45833,685.26,-5.259,0.226,0.2467
8,52.9592134,0.633314003,0.966851646,0.02759,1.777,1.057047619,7.525992814,0.03222,1.45833,685.26,-5.259,0.226,0.2481
8,52.9592134,0.633314003,0.966851646,0.02759,1.777,1.057047619,7.525992814,0.03222,1.45833,685.26,-5.259,0.226,0.238
8,52.9592134,0.633314003,0.966851646,0.02759,1.777,1.057047619,7.525992814,0.03222,1.45833,685.26,-5.259,0.226,0.2292
8,52.9592134,0.633314003,0.966851646,0.02759,1.777,1.057047619,7.525992814,0.03222,1.45833,685.26,-5.259,0.226,0.22
8,52.9592134,0.633314003,0.966851646,0.02759,1.777,0.977795918,7.503000244,0.01954,1.5431,212.05,-4.704,1.346,0.2733
8,52.9592134,0.633314003,0.966851646,0.02759,1.777,0.977795918,7.503000244,0.01954,1.5431,212.05,-4.704,1.346,0.274
8,52.9592134,0.633314003,0.966851646,0.02759,1.777,0.977795918,7.503000244,0.01954,1.5431,212.05,-4.704,1.346,0.2755
8,52.9592134,0.633314003,0.966851646,0.02759,1.777,0.977795918,7.503000244,0.01954,1.5431,212.05,-4.704,1.346,0.2776
8,52.9592134,0.633314003,0.966851646,0.02759,1.777,0.977795918,7.503000244,0.01954,1.5431,212.05,-4.704,1.346,0.2784
8,52.9592134,0.633314003,0.966851646,0.02759,1.777,0.995911111,7.44761855,0.01852,1.39815,198.06,-5.511,3.471,-0.08615
8,52.9592134,0.633314003,0.966851646,0.02759,1.777,0.995911111,7.44761855,0.01852,1.39815,198.06,-5.511,3.471,-0.121
8,52.9592134,0.633314003,0.966851646,0.02759,1.777,0.995911111,7.44761855,0.01852,1.39815,198.06,-5.511,3.471,-0.108
8,52.9592134,0.633314003,0.966851646,0.02759,1.777,0.995911111,7.44761855,0.01852,1.39815,198.06,-5.511,3.471,-0.1187
8,52.9592134,0.633314003,0.966851646,0.02759,1.777,0.995911111,7.44761855,0.01852,1.39815,198.06,-5.511,3.471,-0.1287
8,52.9592134,0.633314003,0.966851646,0.02759,1.777,1.012,7.496365714,0.02029,1.54348,531.14,-5.218,1.568,0.0953
8,52.9592134,0.633314003,0.966851646,0.02759,1.777,1.012,7.496365714,0.02029,1.54348,531.14,-5.218,1.568,0.08921
8,52.9592134,0.633314003,0.966851646,0.02759,1.777,1.012,7.496365714,0.02029,1.54348,531.14,-5.218,1.568,0.08092
8,52.9592134,0.633314003,0.966851646,0.02759,1.777,1.012,7.496365714,0.02029,1.54348,531.14,-5.218,1.568,0.0656
8,52.9592134,0.633314003,0.966851646,0.02759,1.777,1.012,7.496365714,0.02029,1.54348,531.14,-5.218,1.568,0.06265
8,52.9592134,0.633314003,0.966851646,0.02759,1.777,0.955034483,7.795594136,0.03333,0.70455,10.03,-5.285,5.034,0.06063
8,52.9592134,0.633314003,0.966851646,0.02759,1.777,0.955034483,7.795594136,0.03333,0.70455,10.03,-5.285,5.034,0.06073
8,52.9592134,0.633314003,0.966851646,0.02759,1.777,0.955034483,7.795594136,0.03333,0.70455,10.03,-5.285,5.034,0.07323
8,52.9592134,0.633314003,0.966851646,0.02759,1.777,0.955034483,7.795594136,0.03333,0.70455,10.03,-5.285,5.034,0.07648
8,52.9592134,0.633314003,0.966851646,0.02759,1.777,0.955034483,7.795594136,0.03333,0.70455,10.03,-5.285,5.034,0.0754
8,52.9592134,0.633314003,0.966851646,0.02759,1.777,1.009777778,7.537975915,0.02424,1.22727,317.14,-5.249,1.56,0.3064
8,52.9592134,0.633314003,0.966851646,0.02759,1.777,1.009777778,7.537975915,0.02424,1.22727,317.14,-5.249,1.56,0.3178
8,52.9592134,0.633314003,0.966851646,0.02759,1.777,1.009777778,7.537975915,0.02424,1.22727,317.14,-5.249,1.56,0.3239
8,52.9592134,0.633314003,0.966851646,0.02759,1.777,1.009777778,7.537975915,0.02424,1.22727,317.14,-5.249,1.56,0.3262
8,52.9592134,0.633314003,0.966851646,0.02759,1.777,1.009777778,7.537975915,0.02424,1.22727,317.14,-5.249,1.56,0.3288
8,52.9592134,0.633314003,0.966851646,0.02759,1.777,1.000777778,7.537387641,0.03651,1.16667,156.05,-4.981,2.279,0.2146
8,52.9592134,0.633314003,0.966851646,0.02759,1.777,1.000777778,7.537387641,0.03651,1.16667,156.05,-4.981,2.279,0.1968
8,52.9592134,0.633314003,0.966851646,0.02759,1.777,1.000777778,7.537387641,0.03651,1.16667,156.05,-4.981,2.279,0.18
8,52.9592134,0.633314003,0.966851646,0.02759,1.777,1.000777778,7.537387641,0.03651,1.16667,156.05,-4.981,2.279,0.1727
