layer1_InorganicFormula,layer2_InorganicFormula,SMILES_OrganicSmiles,classify
CsPbBr2I,CsPbBr3,[NH4+].[Cl-],0
CsPbBr2I,CsPbBr3,CCCC[N+](CCCC)(CCCC)CCCC.[I-],0
CsPbBr2I,CsPbClI2,[Br-].[Br-].[Sn+2],0
CsPbBr2I,CsPbClI2,[Sn+2].[I-].[I-],0
CsPbBr3,CH3NH3PbBr2I,[Cl-].[Ag+],0
CsPbBr3,CH3NH3PbBr2I,C[NH3+].[I-],0
CsPbCl2Br,CH3NH3SnBrI2,[Br-].[Ag+],0
CsPbCl2Br,CH3NH3SnBrI2,C(=N)N.[I-],0
CsPbCl2I,CsPbCl2Br,[Cl-].[K+],0
CsPbCl2I,CsPbCl2Br,[NH4+].[Cl-],0
CsPbI3,CsPbBr2I,[I-].[I-].[Pb+2],0
CsPbI3,CsPbBr2I,CCCC[N+](CCCC)(CCCC)CCCC.[I-],0
CsPbI3,CsPbI3,[Br-].[Br-].[Pb+2],0
CsPbI3,CsPbI3,[Br-].[Br-].[Sn+2],0
CsPbI3,CH3NH3PbI3,[Li+].[Cl-],0
CsPbI3,CH3NH3PbI3,C[NH3+].[I-],0
CsSnBrI2,(NH2)2CHSnBr2I,C(=N)N.Cl,1
CsSnBrI2,(NH2)2CHSnBr2I,CN.Cl,0
CsSnBrI2,(NH2)2CHSnBr2I,[Br-].[Br-].[Pb+2],0
CsSnBrI2,(NH2)2CHSnBr2I,[Cl-].[Cl-].[Pb+2],0
CsSnBrI2,CH3NH3SnClI2,[Na+].[Cl-],1
CsSnBrI2,CH3NH3SnClI2,[Cl-].[Cl-].[Pb+2],0
CsSnCl3,(NH2)2CHSnClF2,[Cl-].[K+],1
CsSnCl3,(NH2)2CHSnClF2,[Li+].[Cl-],0
CsSnClBr2,(NH2)2CHSnCl2I,[F-].[F-].[F-].[Al+3],0
CsSnClBr2,(NH2)2CHSnCl2I,[Cl-].[Cl-].[Cu+2],0
CsSnClBr2,(NH2)2CHSnCl3,[Br-].[Br-].[Pb+2],0
CsSnClBr2,(NH2)2CHSnCl3,[I-].[I-].[Pb+2],0
CsSnClF2,CH3NH3PbCl2I,[NH4+].[Cl-],0
CsSnClF2,CH3NH3PbCl2I,CCCC[N+](CCCC)(CCCC)CCCC.[I-],0
(NH2)2CHPbBr2I,CsPbI3,[Cl-].[Cl-].[Pb+2],1
(NH2)2CHPbBr2I,CsPbI3,[Sn+2].[I-].[I-],0
(NH2)2CHPbBr2I,CsSnBrI2,C(=N)N.Cl,1
(NH2)2CHPbBr2I,CsSnBrI2,C(=N)N.[I-],0
(NH2)2CHPbCl2I,CsPbCl2I,CN.Br,0
(NH2)2CHPbCl2I,CsPbCl2I,[Sn+2].[I-].[I-],0
(NH2)2CHPbI3,CH3NH3PbBr2I,[Br-].[Br-].[Sn+2],0
(NH2)2CHPbI3,CH3NH3PbBr2I,[Sn+2].[I-].[I-],0
(NH2)2CHPbI3,CH3NH3PbI3,CN.Br,1
(NH2)2CHPbI3,CH3NH3PbI3,CCCC[N+](CCCC)(CCCC)CCCC.[I-],0
(NH2)2CHPbI3,CH3NH3SnCl2Br,C(=N)N.Cl,0
(NH2)2CHPbI3,CH3NH3SnCl2Br,C(=N)N.[I-],1
(NH2)2CHSnCl3,CH3NH3SnClF2,[F-].[F-].[F-].[Al+3],0
(NH2)2CHSnCl3,CH3NH3SnClF2,[Cl-].[K+],1
(NH2)2CHSnClBr2,CsPbClBr2,[Mg+2].[Cl-].[Cl-],0
(NH2)2CHSnClBr2,CsPbClBr2,[NH4+].[Cl-],1
(NH2)2CHSnClI2,(NH2)2CHSnI3,C(=N)N.[I-],1
(NH2)2CHSnClI2,(NH2)2CHSnI3,C[NH3+].[I-],1
(NH2)2CHSnFCl2,(NH2)2CHSnClBr2,[Cl-].[Cl-].[Cu+2],0
(NH2)2CHSnFCl2,(NH2)2CHSnClBr2,[Mg+2].[Cl-].[Cl-],0
CH3NH3PbBr2I,CH3NH3SnBrI2,C[NH3+].[I-],0
CH3NH3PbBr2I,CH3NH3SnClBr2,CN.Cl,0
CH3NH3PbBr2I,CH3NH3SnClBr2,[Cl-].[Cl-].[Pb+2],1
CH3NH3PbBrI2,(NH2)2CHSnF2Cl,CN.Cl,0
CH3NH3PbBrI2,(NH2)2CHSnF2Cl,C[NH3+].[I-],0
CH3NH3PbCl2I,(NH2)2CHSnCl2I,[Cl-].[Cl-].[Cu+2],0
CH3NH3PbCl2I,(NH2)2CHSnCl2I,[Cl-].[Cl-].[Cl-].[Fe+3],1
CH3NH3PbCl2I,(NH2)2CHSnCl2I,[Cl-].[Cl-].[Pb+2],0
CH3NH3PbCl3,(NH2)2CHPbCl3,C(=N)N.Cl,0
CH3NH3PbCl3,(NH2)2CHPbCl3,CN.Cl,1
CH3NH3PbClI2,CH3NH3PbBr2I,[Br-].[Ag+],0
CH3NH3PbClI2,CH3NH3PbBr2I,[Cl-].[Ag+],0
CH3NH3PbClI2,CH3NH3PbCl2Br,[Cl-].[K+],0
CH3NH3PbClI2,CH3NH3PbCl2Br,[Na+].[Cl-],0
CH3NH3SnBr3,CsPbBrI2,[Na+].[Cl-],0
CH3NH3SnBr3,CsPbBrI2,[NH4+].[Cl-],0
CH3NH3SnBr3,CsSnBr3,[Br-].[Ag+],0
CH3NH3SnBr3,CsSnBr3,[Na+].[Cl-],0
CH3NH3SnBrI2,CsPbI3,[I-].[I-].[Pb+2],0
CH3NH3SnBrI2,CsPbI3,[Sn+2].[I-].[I-],1
CH3NH3SnCl2Br,CsPbClBr2,CN.Br,0
CH3NH3SnCl2Br,CsPbClBr2,CN.Cl,0
CH3NH3SnCl3,CH3NH3PbBr2I,[Li+].[Cl-],0
CH3NH3SnCl3,CH3NH3PbBr2I,[Na+].[Cl-],0
CH3NH3SnClF2,(NH2)2CHSnI3,C(=N)N.Cl,1
CH3NH3SnClF2,(NH2)2CHSnI3,[I-].[I-].[Pb+2],0
