SolventC_Smiles,SolventD_Smiles,SolventE_Smiles,Time,ratioA,ratioB,ratioC,ratioD,ratioE,regression£¨200s/1s£©
CN1CCCC1=O,0,0,200,0.55,0.4,0.05,0,0,0.005346182
CO,0,0,200,0.55,0.4,0.05,0,0,1.22385043
CC(=O)O,0,0,200,0.55,0.4,0.05,0,0,0.536375377
C1=CC=C(C=C1)CO,0,0,200,0.55,0.4,0.05,0,0,-0.005853774
CCOC(=O)C,0,0,200,0.55,0.4,0.05,0,0,0.148403977
C1CC(=O)OC1,0,0,200,0.55,0.4,0.05,0,0,0.26274057
CC#N,0,0,200,0.55,0.4,0.05,0,0,1.160097521
CC(CO)O,0,0,200,0.55,0.4,0.05,0,0,0.964994775
CCCCCC,0,0,200,0.55,0.4,0.05,0,0,-0.350645756
CCCCCCCC,0,0,200,0.55,0.4,0.05,0,0,-0.048217684
CC(C)O,0,0,200,0.55,0.4,0.05,0,0,10.70317003
CCO,0,0,200,0.55,0.4,0.05,0,0,1.281795511
C1=CC=C(C(=C1)Cl)Cl,0,0,200,0.55,0.4,0.05,0,0,1.712728344
CC(=O)N(C)C,0,0,200,0.55,0.4,0.05,0,0,2.818589744
CCN(CC)CC?,0,0,200,0.55,0.4,0.05,0,0,0.875137615
CC(=O)C,0,0,200,0.55,0.4,0.05,0,0,0.465318231
C(CO)O,0,0,200,0.55,0.4,0.05,0,0,0.163811685
C(CO)O,CC1=CC=CC=C1,0,200,0.55,0.4,0.05,0.025,0,0.223194748
CC(=O)C,CN1CCCC1=O,0,200,0.55,0.4,0.025,0.025,0,0.032743509
CCN(CC)CC,CO,0,200,0.55,0.4,0.025,0.025,0,0.936548223
CC(=O)N(C)C,CC(=O)O,0,200,0.55,0.4,0.025,0.025,0,0.375279503
C1=CC=C(C(=C1)Cl)Cl,C1=CC=C(C=C1)CO,0,200,0.55,0.4,0.025,0.025,0,0.634511684
CCO,CCCCN,0,200,0.55,0.4,0.025,0.025,0,-0.222776911
CC(C)O,C1CC(=O)OC1,0,200,0.55,0.4,0.025,0.025,0,1.641135512
CCCCCC,CC(CO)O,0,200,0.55,0.4,0.025,0.025,0,0.897697541
CC#N,CCCCCCCC,0,200,0.55,0.4,0.025,0.025,0,0.646234995
C1CC(=O)OC1,CC(C)O,0,200,0.55,0.4,0.025,0.025,0,7.540740741
CCCCN,CCO,0,200,0.55,0.4,0.025,0.025,0,12.2037037
C1=CC=C(C=C1)CO,C1=CC=C(C(=C1)Cl)Cl,0,200,0.55,0.4,0.025,0.025,0,0.650621118
CC(=O)O,CC(=O)N(C)C,0,200,0.55,0.4,0.025,0.025,0,1.161764706
CO,CCN(CC)CC,0,200,0.55,0.4,0.025,0.025,0,0.867630824
CN1CCCC1=O,CC(=O)C,0,200,0.55,0.4,0.025,0.025,0,0.712090848
CC1=CC=CC=C1,C(CO)O,0,200,0.55,0.4,0.025,0.025,0,1.141698677
C1=CC=C(C=C1)CO,C(CO)O,CC1=CC=CC=C1,200,0.72,0.24,0.02,0.01,0.01,0.777777778
C1=CC=C(C=C1)CO,C(CO)O,CC1=CC=CC=C1,50,0.72,0.24,0.02,0.01,0.01,0.729437229
C1=CC=C(C=C1)CO,C(CO)O,CC1=CC=CC=C1,100,0.72,0.24,0.02,0.01,0.01,0.753246753
C1=CC=C(C=C1)CO,C(CO)O,CC1=CC=CC=C1,150,0.72,0.24,0.02,0.01,0.01,0.80952381
CC1=CC=CC=C1,C1=CC=C(C=C1)CO,CN1CCCC1=O,200,0.6,0.32,0.1,0.1,0.2,0.523108218
CC1=CC=CC=C1,C1=CC=C(C=C1)CO,CN1CCCC1=O,150,0.6,0.32,0.1,0.1,0.2,0.532465419
CC1=CC=CC=C1,C1=CC=C(C=C1)CO,CN1CCCC1=O,100,0.6,0.32,0.1,0.1,0.2,0.503824247
CC1=CC=CC=C1,C1=CC=C(C=C1)CO,CN1CCCC1=O,50,0.6,0.32,0.1,0.1,0.2,0.444344996
C(CO)O,CCCCN,CN1CCCC1=O,200,0.72,0.24,0.02,0.01,0.01,0.08815754
C(CO)O,CCCCN,CN1CCCC1=O,50,0.72,0.24,0.02,0.01,0.01,0.191232803
C(CO)O,CCCCN,CN1CCCC1=O,100,0.72,0.24,0.02,0.01,0.01,0.132263286
C(CO)O,CCCCN,CN1CCCC1=O,150,0.72,0.24,0.02,0.01,0.01,0.110547613
CC1=CC=CC=C1,CN1CCCC1=O,CO,200,0.72,0.24,0.02,0.01,0.01,0.815951493
CC1=CC=CC=C1,CN1CCCC1=O,CO,50,0.72,0.24,0.02,0.01,0.01,0.935634328
CC1=CC=CC=C1,CN1CCCC1=O,CO,100,0.72,0.24,0.02,0.01,0.01,0.880503731
CC1=CC=CC=C1,CN1CCCC1=O,CO,150,0.72,0.24,0.02,0.01,0.01,0.851399254
CC1=CC=CC=C1,C1=CC=C(C=C1)CO,CO,50,0.6,0.32,0.1,0.1,0.2,0.205454545
CC1=CC=CC=C1,C1=CC=C(C=C1)CO,CO,100,0.6,0.32,0.1,0.1,0.2,0.077527273
CN1CCCC1=O,CCCCCCCC,CC(=O)O,200,0.72,0.24,0.02,0.01,0.01,0.411947086
CN1CCCC1=O,CCCCCCCC,CC(=O)O,50,0.72,0.24,0.02,0.01,0.01,0.630425796
CN1CCCC1=O,CCCCCCCC,CC(=O)O,100,0.72,0.24,0.02,0.01,0.01,0.490698636
CN1CCCC1=O,CCCCCCCC,CC(=O)O,150,0.72,0.24,0.02,0.01,0.01,0.445638694
CC#N,CCCCCC,CCCCN,200,0.72,0.24,0.02,0.01,0.01,0.177251471
CC#N,CCCCCC,CCCCN,50,0.72,0.24,0.02,0.01,0.01,0.45210439
CC#N,CCCCCC,CCCCN,100,0.72,0.24,0.02,0.01,0.01,0.378639312
CC#N,CCCCCC,CCCCN,150,0.72,0.24,0.02,0.01,0.01,0.246945241
CC(=O)N(C)C,CO,CCOC(=O)C,200,0.72,0.24,0.02,0.01,0.01,0.481130835
CC(=O)N(C)C,CO,CCOC(=O)C,50,0.72,0.24,0.02,0.01,0.01,0.917159763
CC(=O)N(C)C,CO,CCOC(=O)C,100,0.72,0.24,0.02,0.01,0.01,0.648191979
CC(=O)N(C)C,CO,CCOC(=O)C,150,0.72,0.24,0.02,0.01,0.01,0.518408941
CC1=CC=CC=C1,CN1CCCC1=O,C1CC(=O)OC1,50,0.6,0.32,0.1,0.1,0.2,0.916571429
CC1=CC=CC=C1,CN1CCCC1=O,C1CC(=O)OC1,100,0.6,0.32,0.1,0.1,0.2,0.897714286
CC1=CC=CC=C1,C1=CC=C(C=C1)CO,C1CC(=O)OC1,50,0.6,0.32,0.1,0.1,0.2,0.383171706
CC1=CC=CC=C1,C1=CC=C(C=C1)CO,C1CC(=O)OC1,100,0.6,0.32,0.1,0.1,0.2,1.385054193
CC1=CC=CC=C1,C1=CC=C(C=C1)CO,C1CC(=O)OC1,150,0.6,0.32,0.1,0.1,0.2,2.714774672
CC1=CC=CC=C1,C1=CC=C(C=C1)CO,C1CC(=O)OC1,200,0.6,0.32,0.1,0.1,0.2,3.634341129
CC1=CC=CC=C1,CC(C)O,C1CC(=O)OC1,50,0.6,0.32,0.1,0.1,0.2,0.779793637
CC1=CC=CC=C1,CC(C)O,C1CC(=O)OC1,100,0.6,0.32,0.1,0.1,0.2,1.024075666
CC1=CC=CC=C1,CC(C)O,C1CC(=O)OC1,150,0.6,0.32,0.1,0.1,0.2,1.049871023
CC1=CC=CC=C1,CC(C)O,C1CC(=O)OC1,200,0.6,0.32,0.1,0.1,0.2,1.235597592
CCCCCC,CC(C)O,C1CC(=O)OC1,200,0.72,0.24,0.02,0.01,0.01,0.536059577
CCCCCC,CC(C)O,C1CC(=O)OC1,50,0.72,0.24,0.02,0.01,0.01,0.58988764
CCCCCC,CC(C)O,C1CC(=O)OC1,100,0.72,0.24,0.02,0.01,0.01,0.559837993
CCCCCC,CC(C)O,C1CC(=O)OC1,150,0.72,0.24,0.02,0.01,0.01,0.545466423
CC(C)O,C1CC(=O)OC1,CC(CO)O,200,0.72,0.24,0.02,0.01,0.01,0.512598425
CCO,C1CC(=O)OC1,CC(CO)O,50,0.72,0.24,0.02,0.01,0.01,0.629133858
CCO,C1CC(=O)OC1,CC(CO)O,100,0.72,0.24,0.02,0.01,0.01,0.558005249
CCO,C1CC(=O)OC1,CC(CO)O,150,0.72,0.24,0.02,0.01,0.01,0.527559055
CC#N,CC1=CC=CC=C1,CCCCCC,200,0.6,0.32,0.1,0.1,0.2,0.872698989
CO,CC(=O)C,CCCCCC,200,0.72,0.24,0.02,0.01,0.01,0.25648213
CO,CC(=O)C,CCCCCC,50,0.72,0.24,0.02,0.01,0.01,0.32571829
CO,CC(=O)C,CCCCCC,100,0.72,0.24,0.02,0.01,0.01,0.249474422
CO,CC(=O)C,CCCCCC,150,0.72,0.24,0.02,0.01,0.01,0.204765242
C1CC(=O)OC1,CN1CCCC1=O,CCCCCCCC,200,0.6,0.32,0.1,0.1,0.2,0.734981119
C1CC(=O)OC1,CN1CCCC1=O,CCCCCCCC,50,0.6,0.32,0.1,0.1,0.2,0.55166495
C1CC(=O)OC1,CN1CCCC1=O,CCCCCCCC,100,0.6,0.32,0.1,0.1,0.2,0.527634741
C1CC(=O)OC1,CN1CCCC1=O,CCCCCCCC,150,0.6,0.32,0.1,0.1,0.2,0.545142465
CC(=O)C,CC(=O)O,CCCCCCCC,200,0.72,0.24,0.02,0.01,0.01,0.676196809
CC(=O)C,CC(=O)O,CCCCCCCC,50,0.72,0.24,0.02,0.01,0.01,1.042553191
CC(=O)C,CC(=O)O,CCCCCCCC,100,0.72,0.24,0.02,0.01,0.01,0.969414894
CC(=O)C,CC(=O)O,CCCCCCCC,150,0.72,0.24,0.02,0.01,0.01,0.830452128
CC(CO)O,CCCCCC,CCCCCCCC,200,0.6,0.32,0.1,0.1,0.2,0.324939662
CC(CO)O,CCCCCC,CCCCCCCC,50,0.6,0.32,0.1,0.1,0.2,0.424054706
CC(CO)O,CCCCCC,CCCCCCCC,100,0.6,0.32,0.1,0.1,0.2,0.331295253
CC(CO)O,CCCCCC,CCCCCCCC,130,0.6,0.32,0.1,0.1,0.2,0.313193886
CCOC(=O)C,CO,CC(C)O,200,0.6,0.32,0.1,0.1,0.2,0.031446224
CCOC(=O)C,CO,CC(C)O,50,0.6,0.32,0.1,0.1,0.2,0.180594966
CCOC(=O)C,CO,CC(C)O,100,0.6,0.32,0.1,0.1,0.2,0.052540046
CCOC(=O)C,CO,CC(C)O,150,0.6,0.32,0.1,0.1,0.2,0.039789474
CCCCCCCC,CC#N,CC(C)O,200,0.72,0.24,0.02,0.01,0.01,0.458516746
CCCCCCCC,CC#N,CC(C)O,50,0.72,0.24,0.02,0.01,0.01,0.535885167
