溶剂C,溶剂D,溶剂E,Time,stability
CC1=CC=CC=C1,CNCC1=CC=CC=C1CCCCCC1=CC=CC=C1=O,CO,200,1
CCC1=CC=CC=C1=CC=C(C=CCC1=CC=CC=C1)CO,C(CO)O,CC1=CC=CC=C1,200,1
C(CO)O,CCCCN,CNCC1=CC=CC=C1CCCCCC1=CC=CC=C1=O,200,0
CNCC1=CC=CC=C1CCCCCC1=CC=CC=C1=O,CCCCCCCC,CC(=O)O,200,1
CC#N,CCCCCC,CCCCN,200,0
CC(=O)N(C)C,CO,CCOC(=O)C,200,0
CCCCCC,CCO,CCC1=CC=CC=C1CC(=O)OCCC1=CC=CC=C1,200,1
CCO,CCC1=CC=CC=C1CC(=O)OCCC1=CC=CC=C1,CC(CO)O,200,1
CO,CC(=O)C,CCCCCC,200,0
CC(=O)C,CC(=O)O,CCCCCCCC,200,1
CCCCN,CCO,CC(=O)C,200,1
CCCCCCCC,CC#N,CCO,200,1
CCC1=CC=CC=C1CC(=O)OCCC1=CC=CC=C1,CC(=O)N(C)C,CC(=O)N(C)C,200,0
CC(CO)O,CNCC1=CC=CC=C1C=NCCNCC1=CC=CC=C1CCCCCC1=CC=CC=C1=O=CCC1=CC=CC=C1C(=O)N(C(=O)NCNCC1=CC=CC=C1CCCCCC1=CC=CC=C1=OC)C,C(CO)O,200,0
CCO,CC1=CC=CC=C1,CC(=O)N(C)C,200,0
CC1=CC=CC=C1,C(CO)O,0,200,1
CNCC1=CC=CC=C1CCCCCC1=CC=CC=C1=O,CC(=O)C,0,200,1
CO,CNCC1=CC=CC=C1C=NCCNCC1=CC=CC=C1CCCCCC1=CC=CC=C1=O=CCC1=CC=CC=C1C(=O)N(C(=O)NCNCC1=CC=CC=C1CCCCCC1=CC=CC=C1=OC)C,0,200,0
CC(=O)O,CC(=O)N(C)C,0,200,0
CCC1=CC=CC=C1=CC=C(C=CCC1=CC=CC=C1)CO,CC(=O)N(C)C,0,200,1
CCCCN,CCO,0,200,0
CCC1=CC=CC=C1CC(=O)OCCC1=CC=CC=C1,CCO,0,200,0
CC#N,CCCCCCCC,0,200,1
CCCCCC,CC(CO)O,0,200,1
CCO,CCC1=CC=CC=C1CC(=O)OCCC1=CC=CC=C1,0,200,0
CCO,CCCCN,0,200,0
CC(=O)N(C)C,CCC1=CC=CC=C1=CC=C(C=CCC1=CC=CC=C1)CO,0,200,1
CC(=O)N(C)C,CC(=O)O,0,200,0
CNCC1=CC=CC=C1C=NCCNCC1=CC=CC=C1CCCCCC1=CC=CC=C1=O=CCC1=CC=CC=C1C(=O)N(C(=O)NCNCC1=CC=CC=C1CCCCCC1=CC=CC=C1=OC)C,CO,0,200,1
CC(=O)C,CNCC1=CC=CC=C1CCCCCC1=CC=CC=C1=O,0,200,0
C(CO)O,CC1=CC=CC=C1,0,200,0
CNCC1=CC=CC=C1CCCCCC1=CC=CC=C1=O,0,0,200,0
CO,0,0,200,0
CC(=O)O,0,0,200,0
CCC1=CC=CC=C1=CC=C(C=CCC1=CC=CC=C1)CO,0,0,200,0
CCOC(=O)C,0,0,200,0
CCC1=CC=CC=C1CC(=O)OCCC1=CC=CC=C1,0,0,200,0
CC#N,0,0,200,0
CC(CO)O,0,0,200,0
CCCCCC,0,0,200,0
CCCCCCCC,0,0,200,0
CCO,0,0,200,0
CCO,0,0,200,0
CC(=O)N(C)C,0,0,200,0
CC(=O)N(C)C,0,0,200,0
CNCC1=CC=CC=C1C=NCCNCC1=CC=CC=C1CCCCCC1=CC=CC=C1=O=CCC1=CC=CC=C1C(=O)N(C(=O)NCNCC1=CC=CC=C1CCCCCC1=CC=CC=C1=OC)C,0,0,200,0
CC(=O)C,0,0,200,1
C(CO)O,0,0,200,0
CNCC1=CC=CC=C1CCCCCC1=CC=CC=C1=O,CCC1=CC=CC=C1CC(=O)OCCC1=CC=CC=C1,CC(=O)C,200,0
