溶剂C,Time,stability
CC1=CC=CC=C1,200,1
CCC1=CC=CC=C1=CC=C(C=CCC1=CC=CC=C1)CO,200,1
C(CO)O,200,0
CNCC1=CC=CC=C1CCCCCC1=CC=CC=C1=O,200,1
CC#N,200,0
CC(=O)N(C)C,200,0
CCCCCC,200,1
CCO,200,1
CO,200,0
CC(=O)C,200,1
CCCCN,200,1
CCCCCCCC,200,1
CCC1=CC=CC=C1CC(=O)OCCC1=CC=CC=C1,200,0
CC(CO)O,200,0
CCO,200,0
CC1=CC=CC=C1,200,1
CNCC1=CC=CC=C1CCCCCC1=CC=CC=C1=O,200,1
CO,200,0
CC(=O)O,200,0
CCC1=CC=CC=C1=CC=C(C=CCC1=CC=CC=C1)CO,200,1
CCCCN,200,0
CCC1=CC=CC=C1CC(=O)OCCC1=CC=CC=C1,200,0
CC#N,200,1
CCCCCC,200,1
CCO,200,0
CCO,200,0
CC(=O)N(C)C,200,1
CC(=O)N(C)C,200,0
CNCC1=CC=CC=C1C=NCCNCC1=CC=CC=C1CCCCCC1=CC=CC=C1=O=CCC1=CC=CC=C1C(=O)N(C(=O)NCNCC1=CC=CC=C1CCCCCC1=CC=CC=C1=OC)C,200,1
CC(=O)C,200,0
C(CO)O,200,0
CNCC1=CC=CC=C1CCCCCC1=CC=CC=C1=O,200,0
CO,200,0
CC(=O)O,200,0
CCC1=CC=CC=C1=CC=C(C=CCC1=CC=CC=C1)CO,200,0
CCOC(=O)C,200,0
CCC1=CC=CC=C1CC(=O)OCCC1=CC=CC=C1,200,0
CC#N,200,0
CC(CO)O,200,0
CCCCCC,200,0
CCCCCCCC,200,0
CCO,200,0
CCO,200,0
CC(=O)N(C)C,200,0
CC(=O)N(C)C,200,0
CNCC1=CC=CC=C1C=NCCNCC1=CC=CC=C1CCCCCC1=CC=CC=C1=O=CCC1=CC=CC=C1C(=O)N(C(=O)NCNCC1=CC=CC=C1CCCCCC1=CC=CC=C1=OC)C,200,0
CC(=O)C,200,1
C(CO)O,200,0
CNCC1=CC=CC=C1CCCCCC1=CC=CC=C1=O,200,0
CO,200,0
CC(=O)O,200,0
CCC1=CC=CC=C1=CC=C(C=CCC1=CC=CC=C1)CO,200,0
CCOC(=O)C,200,0
CCC1=CC=CC=C1CC(=O)OCCC1=CC=CC=C1,200,0
CC#N,200,0
CC(CO)O,200,0
CC1=CC=CC=C1,200,1
CC1=CC=CC=C1,50,1
CC1=CC=CC=C1,100,1
CC1=CC=CC=C1,150,1
CC1=CC=CC=C1,200,0
CC1=CC=CC=C1,150,0
CC1=CC=CC=C1,100,0
CC1=CC=CC=C1,50,0
CC1=CC=CC=C1,50,0
CC1=CC=CC=C1,100,0
CC1=CC=CC=C1,50,1
CC1=CC=CC=C1,100,0
CC1=CC=CC=C1,150,0
CC1=CC=CC=C1,200,0
CC1=CC=CC=C1,50,0
CC1=CC=CC=C1,100,0
CC1=CC=CC=C1,150,0
CC1=CC=CC=C1,200,0
CC1=CC=CC=C1,50,1
CC1=CC=CC=C1,100,1
CC1=CC=CC=C1,50,1
CC1=CC=CC=C1,100,1
CC1=CC=CC=C1,150,1
CCC1=CC=CC=C1=CC=C(C=CCC1=CC=CC=C1)CO,50,1
CCC1=CC=CC=C1=CC=C(C=CCC1=CC=CC=C1)CO,100,1
CCC1=CC=CC=C1=CC=C(C=CCC1=CC=CC=C1)CO,150,1
C(CO)O,50,0
C(CO)O,100,0
C(CO)O,150,0
CCOC(=O)C,50,0
CNCC1=CC=CC=C1CCCCCC1=CC=CC=C1=O,50,1
CNCC1=CC=CC=C1CCCCCC1=CC=CC=C1=O,100,1
CNCC1=CC=CC=C1CCCCCC1=CC=CC=C1=O,150,1
CC#N,50,1
CC#N,100,1
CC#N,150,0
CC(=O)N(C)C,50,0
CC(=O)N(C)C,100,0
CC(=O)N(C)C,150,0
CCCCCC,50,1
CCCCCC,100,1
CCCCCC,150,1
CCO,50,1
CCO,100,1
CCO,150,1
CO,50,0
CO,100,0
CO,150,0
CC(=O)C,50,1
CC(=O)C,100,1
CC(=O)C,150,1
CCCCN,50,1
CCCCN,100,1
CCCCN,150,1
CCCCCCCC,50,1
CCCCCCCC,100,1
CCCCCCCC,150,1
CC(=O)N(C)C,50,1
CC(=O)N(C)C,100,1
CC(=O)N(C)C,150,1
CC(=O)N(C)C,200,1
CCC1=CC=CC=C1CC(=O)OCCC1=CC=CC=C1,50,0
CCC1=CC=CC=C1CC(=O)OCCC1=CC=CC=C1,100,0
CCC1=CC=CC=C1CC(=O)OCCC1=CC=CC=C1,150,0
CC(CO)O,50,0
CC(CO)O,100,0
CC(CO)O,150,0
CCO,50,0
CCO,100,0
CCO,150,0
CNCC1=CC=CC=C1CCCCCC1=CC=CC=C1=O,160,0
CCOC(=O)C,50,0
CCOC(=O)C,100,0
CCOC(=O)C,150,0
CCC1=CC=CC=C1CC(=O)OCCC1=CC=CC=C1,50,1
CCC1=CC=CC=C1CC(=O)OCCC1=CC=CC=C1,100,0
CCC1=CC=CC=C1CC(=O)OCCC1=CC=CC=C1,150,0
CC(CO)O,50,1
CC(CO)O,100,0
CC(CO)O,130,0
