inorganic_formula_1_element_property_MagpieData avg_dev MeltingT,inorganic_formula_1_element_property_MagpieData mean Electronegativity,inorganic_formula_1_element_property_MagpieData avg_dev NValence,inorganic_formula_1_element_property_MagpieData avg_dev GSbandgap,inorganic_formula_2_element_property_MagpieData avg_dev Row,inorganic_formula_2_element_property_MagpieData mean NValence,inorganic_formula_2_element_property_MagpieData avg_dev GSvolume_pa,organic_data1_rdkit_12,organic_data1_rdkit_13,organic_data1_rdkit_14,organic_data1_rdkit_15,organic_data1_rdkit_20,organic_data1_rdkit_22,Potential (v)
103.68,2.34,6,0.63616,0.96,16,27.7208,69,8,-31,16,0,0,0
103.68,2.34,6,0.63616,0.96,16,27.7208,-96,72,-63,0,0,12,0
103.68,2.34,6,0.63616,0.8,14,25.9538,49,10,37,8,0,0,0
103.68,2.34,6,0.63616,0.8,14,25.9538,77,10,9,8,0,0,0
104.276,2.4,6,0.69936,1.555555556,7.833333333,11.11506944,121,19,-83,5,0,0,0
104.276,2.4,6,0.69936,1.555555556,7.833333333,11.11506944,53,4,21,4,13,0,0
119.348,2.48,8.4,1.03088,1.555555556,6.666666667,13.19395833,49,10,69,7,0,0,0
119.348,2.48,8.4,1.03088,1.555555556,6.666666667,13.19395833,5,1,-11,0,166,3,0
133.824,2.42,8.4,1.02672,1.28,12,28.518,41,27,16,-79,0,0,0
133.824,2.42,8.4,1.02672,1.28,12,28.518,69,8,-31,16,0,0,0
75.224,2.22,6,0.50976,0.8,16,26.638,77,10,-87,13,0,0,0
75.224,2.22,6,0.50976,0.8,16,26.638,-96,72,-63,0,0,12,0
75.224,2.22,6,0.50976,0.48,16,24.4724,49,10,-59,13,0,0,0
75.224,2.22,6,0.50976,0.48,16,24.4724,49,10,37,8,0,0,0
75.224,2.22,6,0.50976,1.777777778,7.833333333,14.12284722,17,5,21,20,0,0,0
75.224,2.22,6,0.50976,1.777777778,7.833333333,14.12284722,53,4,21,4,13,0,0
68.4312,2.206,4.88,0.57296,1.388888889,7,11.23708333,5,1,-11,0,77,185,1
68.4312,2.206,4.88,0.57296,1.388888889,7,11.23708333,-123,14,-30,-71,0,0,0
68.4312,2.206,4.88,0.57296,1.388888889,7,11.23708333,49,10,-59,13,0,0,0
68.4312,2.206,4.88,0.57296,1.388888889,7,11.23708333,-7,25,-106,-43,0,0,0
68.4312,2.206,4.88,0.57296,1.444444444,5.833333333,12.64034722,-11,16,49,8,0,0,1
68.4312,2.206,4.88,0.57296,1.444444444,5.833333333,12.64034722,-7,25,-106,-43,0,0,0
111.2328,2.446,2.72,1.19664,0.763888889,4.5,6.472777778,41,27,16,-79,0,0,1
111.2328,2.446,2.72,1.19664,0.763888889,4.5,6.472777778,17,5,21,20,0,0,0
81.2424,2.366,5.76,0.86512,1.166666667,5.333333333,10.12986111,-66,121,25,5,0,0,0
81.2424,2.366,5.76,0.86512,1.166666667,5.333333333,10.12986111,-55,2,93,22,0,0,0
81.2424,2.366,5.76,0.86512,0.944444444,4.5,8.133333333,49,10,-59,13,0,0,0
81.2424,2.366,5.76,0.86512,0.944444444,4.5,8.133333333,77,10,-87,13,0,0,0
149.0248,2.774,2.72,1.02928,1.333333333,6.166666667,10.00784722,69,8,-31,16,0,0,0
149.0248,2.774,2.72,1.02928,1.333333333,6.166666667,10.00784722,-96,72,-63,0,0,12,0
583.4291667,2.545,7.722222222,2.797097222,0.48,16,24.4724,-7,25,-106,-43,0,0,1
583.4291667,2.545,7.722222222,2.797097222,0.48,16,24.4724,77,10,9,8,0,0,0
583.4291667,2.545,7.722222222,2.797097222,0.4,13.2,25.1412,5,1,-11,0,77,185,1
583.4291667,2.545,7.722222222,2.797097222,0.4,13.2,25.1412,5,1,-11,0,166,3,0
588.6625,2.578333333,5.5,2.595652778,1.28,12,27.4352,37,10,93,2,0,0,0
588.6625,2.578333333,5.5,2.595652778,1.28,12,27.4352,77,10,9,8,0,0,0
576.7041667,2.495,7.722222222,2.873902778,1.555555556,7.833333333,11.11506944,49,10,37,8,0,0,0
576.7041667,2.495,7.722222222,2.873902778,1.555555556,7.833333333,11.11506944,77,10,9,8,0,0,0
576.7041667,2.495,7.722222222,2.873902778,1.777777778,7.833333333,14.12284722,37,10,93,2,0,0,1
576.7041667,2.495,7.722222222,2.873902778,1.777777778,7.833333333,14.12284722,-96,72,-63,0,0,12,0
576.7041667,2.495,7.722222222,2.873902778,1.111111111,5,9.153489583,5,1,-11,0,77,185,0
576.7041667,2.495,7.722222222,2.873902778,1.111111111,5,9.153489583,5,1,-11,0,166,3,1
581.3736111,2.589166667,3,2.456527778,0.833333333,4.166666667,6.371197917,-66,121,25,5,0,0,0
